,name,score,rank,popularity,members,date,channel
0,Shingeki no Kyojin,8.53,#105,#1,"3,401,578",Spring 2013,TV
1,Fullmetal Alchemist: Brotherhood,9.14,#1,#3,"2,868,142",Spring 2009,TV
2,One Punch Man,8.51,#115,#4,"2,778,154",Fall 2015,TV
3,Sword Art Online,7.2,#2964,#5,"2,737,387",Summer 2012,TV
4,Boku no Hero Academia,7.94,#648,#6,"2,614,258",Spring 2016,TV
5,Tokyo Ghoul,7.8,#880,#7,"2,474,684",Summer 2014,TV
6,Naruto,7.97,#603,#8,"2,467,248",Fall 2002,TV
7,Kimetsu no Yaiba,8.55,#91,#9,"2,408,616",Spring 2019,TV
8,Hunter x Hunter (2011),9.05,#8,#10,"2,351,602",Fall 2011,TV
9,Shingeki no Kyojin Season 2,8.5,#118,#12,"2,298,766",Spring 2017,TV
10,Boku no Hero Academia 2nd Season,8.16,#366,#14,"2,193,185",Spring 2017,TV
11,Naruto: Shippuuden,8.24,#280,#16,"2,100,191",Winter 2007,TV
12,Code Geass: Hangyaku no Lelouch,8.7,#50,#17,"1,976,759",Fall 2006,TV
13,Shingeki no Kyojin Season 3,8.62,#74,#20,"1,942,875",Summer 2018,TV
14,Noragami,7.97,#604,#22,"1,922,589",Winter 2014,TV
15,Boku no Hero Academia 3rd Season,8.09,#452,#25,"1,882,450",Spring 2018,TV
16,One Piece,8.64,#67,#26,"1,861,846",Fall 1999,TV
17,Jujutsu Kaisen (TV),8.69,#52,#27,"1,834,033",Fall 2020,TV
18,Akame ga Kill!,7.47,#1748,#28,"1,831,161",Summer 2014,TV
19,Mirai Nikki (TV),7.45,#1845,#29,"1,824,520",Fall 2011,TV
20,Nanatsu no Taizai,7.71,#1081,#30,"1,822,649",Fall 2014,TV
21,Shingeki no Kyojin Season 3 Part 2,9.08,#3,#31,"1,821,013",Spring 2019,TV
22,Sword Art Online II,6.71,#5245,#33,"1,764,941",Summer 2014,TV
23,Ao no Exorcist,7.52,#1603,#34,"1,728,704",Spring 2011,TV
24,Ansatsu Kyoushitsu,8.1,#443,#35,"1,720,912",Winter 2015,TV
25,Mob Psycho 100,8.48,#124,#36,"1,713,971",Summer 2016,TV
26,Bleach,7.86,#775,#40,"1,640,701",Fall 2004,TV
27,Kiseijuu: Sei no Kakuritsu,8.35,#196,#41,"1,622,429",Fall 2014,TV
28,Cowboy Bebop,8.76,#37,#42,"1,603,597",Spring 1998,TV
